,Angle
975,-0.001679543756835705
976,-0.02219445164546765
977,-0.04245385315287724
978,-0.06820296824506984
979,-0.08800083188114247
980,-0.10700834238395655
981,-0.1288089907082298
982,-0.14777737679003392
983,-0.16808167425299309
984,-0.1901183485094275
985,-0.20949854289719005
986,-0.22616784372348078
987,-0.2449355206246246
988,-0.26194248562394334
989,-0.27697143582791506
990,-0.27697143582791506
991,-0.29209271863022257
992,-0.3022676277150839
993,-0.3132836547162691
994,-0.32150160736762806
995,-0.3289928390950584
996,-0.3359854281156136
997,-0.33951160589432083
998,-0.34184643031389605
999,-0.3425463797340669
